folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_hillclimber_tsp_cities_100_items_100.json,1000,6.457944022893906,6.459705948829651,0.038915312494284905,6.300412178039551,6.570855617523193
TTP_instances_100_items_200,results_hillclimber_tsp_cities_100_items_200.json,1000,12.679175088405609,12.687314867973328,0.09341080976758329,12.281930446624756,13.331444263458252
TTP_instances_100_items_300,results_hillclimber_tsp_cities_100_items_300.json,1000,19.305902692079545,19.316948413848877,0.1540206042779944,18.58220362663269,19.768643140792847
TTP_instances_100_items_400,results_hillclimber_tsp_cities_100_items_400.json,1000,26.35548664045334,26.37570023536682,0.22067454483109972,25.215250968933105,26.987299919128418
TTP_instances_20_items_20,results_hillclimber_tsp_cities_20_items_20.json,1000,0.44474254894256593,0.4446333646774292,0.008257418101744319,0.42322611808776855,0.5553944110870361
TTP_instances_20_items_40,results_hillclimber_tsp_cities_20_items_40.json,1000,0.7225552792549134,0.7236754894256592,0.013172625109806239,0.680645227432251,0.7618725299835205
TTP_instances_20_items_60,results_hillclimber_tsp_cities_20_items_60.json,1000,1.0255488455295563,1.0282461643218994,0.02028967318768543,0.9399967193603516,1.07843017578125
TTP_instances_20_items_80,results_hillclimber_tsp_cities_20_items_80.json,1000,1.3471662170886993,1.3498082160949707,0.026313578851229865,1.2331876754760742,1.431169033050537
TTP_instances_40_items_120,results_hillclimber_tsp_cities_40_items_120.json,1000,3.4435111515522,3.4459136724472046,0.043179654982292266,3.2652156352996826,3.5754175186157227
TTP_instances_40_items_160,results_hillclimber_tsp_cities_40_items_160.json,1000,4.628660986185074,4.635098576545715,0.06242414387137094,4.334578514099121,4.84057879447937
TTP_instances_40_items_40,results_hillclimber_tsp_cities_40_items_40.json,1000,1.2775741612911224,1.278342843055725,0.013739941423927588,1.2286255359649658,1.3611986637115479
TTP_instances_40_items_80,results_hillclimber_tsp_cities_40_items_80.json,1000,2.3234190819263456,2.327425479888916,0.028327501031805345,2.206820011138916,2.4014029502868652
TTP_instances_60_items_120,results_hillclimber_tsp_cities_60_items_120.json,1000,4.852540784835815,4.857245445251465,0.044640877316652595,4.66732120513916,4.974422216415405
TTP_instances_60_items_180,results_hillclimber_tsp_cities_60_items_180.json,1000,7.300837371826172,7.308720111846924,0.07590828493153393,6.988776206970215,7.684317588806152
TTP_instances_60_items_240,results_hillclimber_tsp_cities_60_items_240.json,1000,9.899424309730529,9.909320831298828,0.10957465787216882,9.467656373977661,10.425286293029785
TTP_instances_60_items_60,results_hillclimber_tsp_cities_60_items_60.json,1000,2.5551554138660433,2.5569170713424683,0.02088688884310542,2.476963520050049,2.610900402069092
TTP_instances_80_items_160,results_hillclimber_tsp_cities_80_items_160.json,1000,8.279772330522537,8.285438299179077,0.06489383981842078,8.008541584014893,8.504805326461792
TTP_instances_80_items_240,results_hillclimber_tsp_cities_80_items_240.json,1000,12.538264846801757,12.543556690216064,0.11321455232850935,12.056367635726929,12.956119060516357
TTP_instances_80_items_320,results_hillclimber_tsp_cities_80_items_320.json,1000,17.055379130363466,17.06290602684021,0.1647717874248596,16.322522163391113,17.74027967453003
TTP_instances_80_items_80,results_hillclimber_tsp_cities_80_items_80.json,1000,4.2785271596908565,4.280484199523926,0.030311128536715665,4.153944730758667,4.365844488143921
