folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_hillclimber_tsp_cities_100_items_100.json,1000,9064.84764338455,9067.733613658129,1917.350688739024,3216.16136051876,15797.211773350817
TTP_instances_100_items_200,results_hillclimber_tsp_cities_100_items_200.json,1000,21165.732987736617,21234.881350033724,2664.8607118949635,12670.223684713557,28747.399362635024
TTP_instances_100_items_300,results_hillclimber_tsp_cities_100_items_300.json,1000,33181.713426212926,33226.96598493526,3260.9019924347335,21804.987352580752,42968.97205533694
TTP_instances_100_items_400,results_hillclimber_tsp_cities_100_items_400.json,1000,45454.37726927465,45538.62667487966,3992.6129415311866,28806.701815198034,58838.864635650556
TTP_instances_20_items_20,results_hillclimber_tsp_cities_20_items_20.json,1000,1127.555674369181,1085.102352240573,770.3736453439712,-749.8209832308326,3725.7411386725016
TTP_instances_20_items_40,results_hillclimber_tsp_cities_20_items_40.json,1000,3317.4782750987983,3277.8419033915397,1225.4932074471242,-52.359803794909794,7992.6873467594105
TTP_instances_20_items_60,results_hillclimber_tsp_cities_20_items_60.json,1000,5648.019925521379,5687.382013723371,1446.3484984412994,1279.9572377659924,10052.540990120506
TTP_instances_20_items_80,results_hillclimber_tsp_cities_20_items_80.json,1000,8033.041863918599,8038.128792835698,1737.3956909608348,2066.476849627855,14481.75382549375
TTP_instances_40_items_120,results_hillclimber_tsp_cities_40_items_120.json,1000,12403.42105689087,12426.705478617367,2097.6644856899684,5756.852868243121,21671.479837567276
TTP_instances_40_items_160,results_hillclimber_tsp_cities_40_items_160.json,1000,17047.114434456133,17038.928325781846,2397.5732905307777,10215.104185794375,24107.530689678002
TTP_instances_40_items_40,results_hillclimber_tsp_cities_40_items_40.json,1000,3099.53625586404,3015.294726882679,1172.3549139178865,-166.97493522363197,8226.018382040254
TTP_instances_40_items_80,results_hillclimber_tsp_cities_40_items_80.json,1000,7594.716015816329,7608.2809245845565,1719.3163439520422,1431.2532759191688,13492.578961928542
TTP_instances_60_items_120,results_hillclimber_tsp_cities_60_items_120.json,1000,12065.49974539353,12066.006817285273,2098.057915434424,5199.5296046496405,22721.998739324998
TTP_instances_60_items_180,results_hillclimber_tsp_cities_60_items_180.json,1000,19288.773090070084,19282.403083333244,2635.953358310721,11296.329266239078,27588.21449313545
TTP_instances_60_items_240,results_hillclimber_tsp_cities_60_items_240.json,1000,26487.08429599008,26498.43815658836,2988.681085746198,17243.690445194617,35718.41450691566
TTP_instances_60_items_60,results_hillclimber_tsp_cities_60_items_60.json,1000,5035.422212592377,4981.908589865665,1463.7178943728638,682.2490295925468,9918.821611997304
TTP_instances_80_items_160,results_hillclimber_tsp_cities_80_items_160.json,1000,16589.80487269861,16594.297104865447,2550.405993245099,9862.9429827253,24426.60325405419
TTP_instances_80_items_240,results_hillclimber_tsp_cities_80_items_240.json,1000,26145.431654923766,26221.547884393447,3079.66794384697,16064.778925758099,35332.61316559153
TTP_instances_80_items_320,results_hillclimber_tsp_cities_80_items_320.json,1000,35689.22938171907,35792.02212914553,3525.4919506207175,24059.330537334492,46773.36677225139
TTP_instances_80_items_80,results_hillclimber_tsp_cities_80_items_80.json,1000,7102.990050586045,7108.269728461333,1657.6477598706367,2156.29860963478,14244.194867268712
