folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_aco_100_items_100_combined.json,1000,516.1844751560689,516.6064954996109,6.652190722698205,496.80938243865967,540.3095617294312
TTP_instances_100_items_200,results_aco_100_items_200_combined.json,1000,541.3334877274036,541.7523376941681,6.604589418816161,521.8818416595459,558.6788191795349
TTP_instances_100_items_300,results_aco_100_items_300_combined.json,1000,568.8511252691745,569.0733013153076,7.324936721152964,547.4565045833588,592.6414785385132
TTP_instances_100_items_400,results_aco_100_items_400_combined.json,1000,598.8296898608207,598.8672308921814,8.011590746042835,577.3070464134216,624.634458065033
