folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_aco_100_items_100_combined.json,1000,14172.461020250663,14079.435071638483,1414.7880527987445,10507.230639727717,19662.765758784684
TTP_instances_100_items_200,results_aco_100_items_200_combined.json,1000,28883.209534842106,28831.64153117835,1867.8514302778708,23365.08557162691,37023.44983607718
TTP_instances_100_items_300,results_aco_100_items_300_combined.json,1000,43183.55726110793,43101.698061713614,2196.854813200195,36156.28172099827,52334.801287312854
TTP_instances_100_items_400,results_aco_100_items_400_combined.json,1000,57244.89303668004,57188.031000593124,2390.592503634362,48604.84336786727,67281.0864595612
