folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_hillclimber_tsp_cities_100_items_100.json,1000,8835.391417739269,8842.628590980723,1910.4019578624132,2889.4938160905813,15820.717094963487
TTP_instances_100_items_200,results_hillclimber_tsp_cities_100_items_200.json,1000,20897.35777665575,20962.907103718062,2657.354348675458,12453.116408990682,28495.490036469542
TTP_instances_100_items_300,results_hillclimber_tsp_cities_100_items_300.json,1000,32890.56109021096,32972.0042674042,3249.960797052371,21773.603311710736,42193.254251434446
TTP_instances_100_items_400,results_hillclimber_tsp_cities_100_items_400.json,1000,45146.35803187764,45245.80841390882,3988.723320544229,28474.1817874706,58689.39497811602
TTP_instances_20_items_20,results_hillclimber_tsp_cities_20_items_20.json,1000,1128.530505347713,1095.9510282269243,768.1001898989794,-786.8389117959032,3616.0098423765785
TTP_instances_20_items_40,results_hillclimber_tsp_cities_20_items_40.json,1000,3313.0284361682184,3269.121667133151,1226.860003289112,-2.9014193851057826,7916.534208484847
TTP_instances_20_items_60,results_hillclimber_tsp_cities_20_items_60.json,1000,5655.223427939847,5699.120932223053,1449.3623181374203,1318.5714431654899,10090.50331253872
TTP_instances_20_items_80,results_hillclimber_tsp_cities_20_items_80.json,1000,8032.295176733743,8048.198622591381,1740.214843639062,2004.221097856785,14788.958457132727
TTP_instances_40_items_120,results_hillclimber_tsp_cities_40_items_120.json,1000,12405.73406129256,12390.15976245219,2099.3191558748563,5680.269983871357,21879.747459147657
TTP_instances_40_items_160,results_hillclimber_tsp_cities_40_items_160.json,1000,17060.993745698295,17037.751785841334,2399.036537761887,10290.945420313165,24294.52827296731
TTP_instances_40_items_40,results_hillclimber_tsp_cities_40_items_40.json,1000,3095.6375078567658,3027.2317566345173,1178.9698040235062,-125.73544840966213,8456.18567839095
TTP_instances_40_items_80,results_hillclimber_tsp_cities_40_items_80.json,1000,7593.283592409693,7604.783094649335,1716.6778382180084,1439.6180490316842,13515.251075528377
TTP_instances_60_items_120,results_hillclimber_tsp_cities_60_items_120.json,1000,12041.12363519321,12043.220601940358,2102.394441857455,5361.0650031924515,23024.042423630184
TTP_instances_60_items_180,results_hillclimber_tsp_cities_60_items_180.json,1000,19269.094197466835,19272.664885700535,2631.0642738839942,11203.172316250653,27422.40785596533
TTP_instances_60_items_240,results_hillclimber_tsp_cities_60_items_240.json,1000,26454.39159740074,26498.31972704905,2991.703809825146,17105.69026720684,35485.84294227687
TTP_instances_60_items_60,results_hillclimber_tsp_cities_60_items_60.json,1000,5013.803526404868,4980.725859451323,1465.4988805997148,743.470252280782,9960.720322770987
TTP_instances_80_items_160,results_hillclimber_tsp_cities_80_items_160.json,1000,16476.55179809843,16479.662805414082,2539.2452768170883,9691.484491291687,24501.993919173885
TTP_instances_80_items_240,results_hillclimber_tsp_cities_80_items_240.json,1000,26018.504547073357,26074.076897421728,3079.4381088058367,15834.990010368798,35288.02346106737
TTP_instances_80_items_320,results_hillclimber_tsp_cities_80_items_320.json,1000,35556.66150431696,35647.532683075144,3518.1531537029905,24155.661309546816,46529.48091597114
TTP_instances_80_items_80,results_hillclimber_tsp_cities_80_items_80.json,1000,7009.633149421465,7031.861232381585,1650.6612655833812,2209.1426964254406,14054.388027233814
